customerNumber,customerName,creditLimit
157,"Diecast Classics Inc.",100600.00
319,"Mini Classics",102700.00
148,"Dragon Souveniers, Ltd.",103800.00
458,"Corrida Auto Replicas, Ltd",104600.00
239,"Collectable Mini Designs Co.",105000.00
321,"Corporate Gift Ideas Co.",105000.00
276,"Anna's Decorations, Ltd",107800.00
496,"Kelly's Gift Shop",110000.00
249,"Amica Models & Co.",113000.00
363,"Online Diecast Creations Co.",114200.00
131,"Land of Toys Inc.",114900.00
448,"Scandinavian Gift Ideas",116400.00
114,"Australian Collectors, Co.",117300.00
119,"La Rochelle Gifts",118200.00
278,"Rovelli Gifts",119600.00
259,"Toms Spezialitäten, Ltd",120400.00
227,"Heintze Collectables",120800.00
386,"L'ordine Souveniers",121400.00
286,"Marta's Replicas Co.",123700.00
146,"Saveley & Henriot, Co.",123900.00
187,"AV Stores, Co.",136800.00
151,"Muscle Machine Inc",138500.00
298,"Vida Sport, Ltd",141300.00
124,"Mini Gifts Distributors Ltd.",210500.00
141,"Euro+ Shopping Channel",227600.00
